precursor,pyrolysis T (K),activator_name,activator_ratio,BET (m2/g),T ads (K),P ads (bar),CO2 ads (mmol/g),pore volume (cm3/g),C (%),N (%),H (%),S (%),O (%),ash (%),VM (%),FC (%),H/O (molar),O/C (molar),H/C (molar),(O+N)/C (molar)
olive stones,1073,CO2,0,1079,373,1,0.72,0.502,51.19,0.20,5.95,0.50,41.37,0.80,85.40,13.80,2.30,0.61,1.40,0.61
olive stones,1073,CO2,0,909,303,1,2.3,0.437,51.19,0.20,5.95,0.50,41.37,0.80,85.40,13.80,2.30,0.61,1.40,0.61
olive stones,1073,CO2,0,909,303,0.4,1.3,0.437,51.19,0.20,5.95,0.50,41.37,0.80,85.40,13.80,2.30,0.61,1.40,0.61
almond shells,973,CO2,0,831,303,0.4,1.4,0.375,50.73,0.30,6.02,0.59,41.06,1.30,82.30,16.40,2.35,0.61,1.42,0.61
almond shells,973,CO2,0,831,303,1,2.3,0.375,50.73,0.30,6.02,0.59,41.06,1.30,82.30,16.40,2.35,0.61,1.42,0.61
almond shells,1023,CO2,0,862,298,1,2.7,0.36,50.73,0.30,6.02,0.59,41.06,1.30,82.30,16.40,2.35,0.61,1.42,0.61
almond shells,1023,CO2,0,862,373,1,0.9,0.36,50.73,0.30,6.02,0.59,41.06,1.30,82.30,16.40,2.35,0.61,1.42,0.61
almond shells,1023,CO2,0,862,273,0.9,3.4,0.36,50.73,0.30,6.02,0.59,41.06,1.30,82.30,16.40,2.35,0.61,1.42,0.61
almond shells,1023,CO2,0,862,273,0.7,3.1,0.36,50.73,0.30,6.02,0.59,41.06,1.30,82.30,16.40,2.35,0.61,1.42,0.61
almond shells,1023,CO2,0,862,273,0.5,2.8,0.36,50.73,0.30,6.02,0.59,41.06,1.30,82.30,16.40,2.35,0.61,1.42,0.61
almond shells,1023,CO2,0,862,273,0.2,2,0.36,50.73,0.30,6.02,0.59,41.06,1.30,82.30,16.40,2.35,0.61,1.42,0.61
almond shells,1023,CO2,0,862,273,0.1,1.4,0.36,50.73,0.30,6.02,0.59,41.06,1.30,82.30,16.40,2.35,0.61,1.42,0.61
almond shells,1023,CO2,0,862,298,0.9,2.4,0.36,50.73,0.30,6.02,0.59,41.06,1.30,82.30,16.40,2.35,0.61,1.42,0.61
almond shells,1023,CO2,0,862,298,0.7,2.1,0.36,50.73,0.30,6.02,0.59,41.06,1.30,82.30,16.40,2.35,0.61,1.42,0.61
almond shells,1023,CO2,0,862,298,0.5,1.7,0.36,50.73,0.30,6.02,0.59,41.06,1.30,82.30,16.40,2.35,0.61,1.42,0.61
almond shells,1023,CO2,0,862,298,0.2,1.2,0.36,50.73,0.30,6.02,0.59,41.06,1.30,82.30,16.40,2.35,0.61,1.42,0.61
almond shells,1023,CO2,0,862,298,0.1,0.9,0.36,50.73,0.30,6.02,0.59,41.06,1.30,82.30,16.40,2.35,0.61,1.42,0.61
almond shells,1023,CO2,0,862,323,0.9,1.6,0.36,50.73,0.30,6.02,0.59,41.06,1.30,82.30,16.40,2.35,0.61,1.42,0.61
almond shells,1023,CO2,0,862,323,0.7,1.4,0.36,50.73,0.30,6.02,0.59,41.06,1.30,82.30,16.40,2.35,0.61,1.42,0.61
almond shells,1023,CO2,0,862,323,0.5,1.2,0.36,50.73,0.30,6.02,0.59,41.06,1.30,82.30,16.40,2.35,0.61,1.42,0.61
almond shells,1023,CO2,0,862,323,0.2,0.7,0.36,50.73,0.30,6.02,0.59,41.06,1.30,82.30,16.40,2.35,0.61,1.42,0.61
almond shells,1023,CO2,0,862,323,0.1,0.5,0.36,50.73,0.30,6.02,0.59,41.06,1.30,82.30,16.40,2.35,0.61,1.42,0.61
almond shells,1073,CO2,0,822,298,1,2.14,0.371,50.73,0.30,6.02,0.59,41.06,1.30,82.30,16.40,2.35,0.61,1.42,0.61
almond shells,1073,CO2,0,822,373,1,0.75,0.371,50.73,0.30,6.02,0.59,41.06,1.30,82.30,16.40,2.35,0.61,1.42,0.61
almond shells,973,CO2,0,1090,298,1,2.66,0.5,50.73,0.30,6.02,0.59,41.06,1.30,82.30,16.40,2.35,0.61,1.42,0.61
almond shells,973,CO2,0,1090,373,1,0.93,0.5,50.73,0.30,6.02,0.59,41.06,1.30,82.30,16.40,2.35,0.61,1.42,0.61
